English Word,True Transliteration,Predicted Transliteration
adhyayanarat,अध्ययनरत,अध्ययनरत
adhyayanrat,अध्ययनरत,अध्ययनरत
adhyaynrat,अध्ययनरत,अध्ययनरत
anant,अनंत,अनंत
ananti,अनंती,अनंति
angadh,अनगढ़,अंगाध
angarh,अनगढ़,अंगारह
anchahe,अनचाहे,अंचाहे
anthak,अनथक,अंतक
unthak,अनथक,अन्थक
anhoni,अनहोनी,अन्होनी
anaavashyak,अनावश्यक,अनावश्यक
anavashyak,अनावश्यक,अनावश्यक
anavshyak,अनावश्यक,अनाश्यक
anawashyak,अनावश्यक,अनावाश्यक
anik,अनिक,अनिक
anishwarvadi,अनीश्वरवादी,अनिश्वरवादी
anishwarwadi,अनीश्वरवादी,अनिश्वरवादी
anukoltha,अनुकूलता,अनुकोलता
anukulata,अनुकूलता,अनुकूलता
anukulta,अनुकूलता,अनुकूलता
anuchit,अनुचित,अनुचित
anuprayogi,अनुप्रयोगों,अनुप्रयोगी
anuprayogon,अनुप्रयोगों,अनुप्रयोगों
anupryogon,अनुप्रयोगों,अनुप्रोगों
anureet,अनुरीत,अनुरीत
anurit,अनुरीत,अनुरीत
anuthi,अनूठी,अनूठी
anudit,अनूदित,अनुदित
anyaay,अन्याय,अन्याय
anyay,अन्याय,अन्याय
anyaya,अन्याय,अन्याय
apnani,अपनानी,अपनानी
aparivartanshali,अपरिवर्तनशील,अपरिवर्तनशाली
aparivartansheel,अपरिवर्तनशील,अपरिवर्तनशील
aparivartanshil,अपरिवर्तनशील,अपरिवर्तनशील
apariharya,अपरिहार्य,अपरिहार्य
aprihary,अपरिहार्य,अपरिहर्य
apriyary,अपरिहार्य,अप्रियर्य
apavartit,अपवर्तित,अपवर्तित
apvartit,अपवर्तित,अपवर्तित
apvtrit,अपवर्तित,अप्वत्रित
apaardarshi,अपारदर्शी,अपारदर्शी
apardarshi,अपारदर्शी,अपरदर्शी
afroj,अफरोज,अफ्रोज
afroz,अफरोज,अफ्रोज
africa,अफ्रीका,अफ्रिका
abbaasi,अब्बासी,अब्बासी
abbasi,अब्बासी,अब्बासी
abhimat,अभिमत,अभिमत
abhishap,अभिशाप,अभिषप
abhi,अभी,अभी
amjhera,अमझेरा,अमजेरा
amzera,अमझेरा,अमजेरा
amargad,अमरगढ़,अमरगढ़
amargarh,अमरगढ़,अमरगढ़
amarpaal,अमरपाल,अमरपाल
amarpal,अमरपाल,अमरपाल
amarohi,अमरोही,अमरोही
amrohi,अमरोही,अमरोही
amaanat,अमानत,अमानत
amanat,अमानत,अमानत
amanth,अमानत,अमांत
amaanati,अमानती,अमानती
amanathi,अमानती,अमानाथी
amanati,अमानती,अमानती
amavasya,अमावस्या,अमावस्य
amavsya,अमावस्या,अमाव्या
amit,अमित,अमिट
amitao,अमिताव,अमिताओ
amitav,अमिताव,अमित्व
amuk,अमुक,अमूक
amogh,अमोघ,अमोघ
ambani,अम्बानी,अंबेनी
ayodhyaanaath,अयोध्यानाथ,अयोध्यानाथ
ayodhyanaath,अयोध्यानाथ,अयोध्यानाथ
ayodhyanath,अयोध्यानाथ,अयोध्यानाथ
ayodhyeanath,अयोध्यानाथ,अयोध्यानाथ
aradas,अरदास,अरदास
ardaas,अरदास,अर्दास
ardas,अरदास,अर्दास
arabab,अरबाब,अरबब
arbab,अरबाब,अरबाब
around,अराउंड,अराउंड
arjent,अर्जेंट,अर्जेंट
urgent,अर्जेंट,युर्जेंट
arth,अर्थ,आर्थ
artha,अर्थ,अर्था
earth,अर्थ,इर्थ
earthquake,अर्थक्वेक,इर्थकुके
arthon,अर्थों,आर्थो
arpit,अर्पित,आर्पिट
aryama,अर्यमा,आर्यमा
aryma,अर्यमा,आर्मिमा
arymaa,अर्यमा,आर्मिआ
alankaar,अलंकार,अलंकार
alankar,अलंकार,अलंकर
alnkaar,अलंकार,अलंकार
alankaaron,अलंकारों,अलंकारों
alankaron,अलंकारों,अलंकरों
alnkaaron,अलंकारों,अलंकारों
alnkaron,अलंकारों,अलंकारों
alagavavadi,अलगाववादी,अलगववादी
algavvadi,अलगाववादी,एलगवावादी
algavwaadi,अलगाववादी,एलगववाड़ी
alive,अलाइव,अलीव
alance,अलायंस,अलांस
alayans,अलायंस,अलायंस
aliance,अलायंस,अलियंस
alind,अलिंद,अलिंड
alai,अली,अलाई
ali,अली,एली
alii,अली,एली
alonso,अलोंसो,आलोंसो
aloso,अलोंसो,आलोसो
alphabet,अल्फ़ाबेट,अल्फेबेत
alba,अल्बा,अल्बा
avantipur,अवंतिपुर,अवंतीपुर
awantipora,अवंतिपुर,अवंतिपोरा
avaru,अवरु,अवरु
avru,अवरु,आवरू
awaru,अवरु,अवरु
avarodhak,अवरोधक,अवरोधक
avrodhak,अवरोधक,अवरोधक
avrodhk,अवरोधक,अवरोधक
avarnata,अवर्णता,अवर्णता
avarnataa,अवर्णता,अवर्णता
avranta,अवर्णता,अवरंता
avashist,अवशिष्ट,अवशिष्ट
avshisht,अवशिष्ट,अवशिष्ट
awashist,अवशिष्ट,अवशिष्ट
avasthaayen,अवस्थाएं,अवस्थाएं
avsthaen,अवस्थाएं,अवस्थाएं
avsthayen,अवस्थाएं,अवस्थाएं
awasthaen,अवस्थाएं,अवस्थाएं
avi,अवि,अवी
avika,अविका,अविका
aviral,अविरल,अविरल
avirl,अविरल,एवर्ल
avishvaasniy,अविश्वसनीय,अविश्वासनीय
avishvasniy,अविश्वसनीय,अविश्वासनीय
avishvasniya,अविश्वसनीय,अविश्वास्नीय
avisvasniya,अविश्वसनीय,अविश्वास्नीय
aviva,अवीवा,अविवा
avaigyanic,अवैज्ञानिक,अवैग्ञानिक
avaigyanik,अवैज्ञानिक,अवैग्ञानिक
avegyanik,अवैज्ञानिक,अवेज्ञानिक
ashaktataa,अशक्तता,अशक्तता
ashktta,अशक्तता,अशक्तता
asharaphi,अशरफी,अशराफी
ashrafi,अशरफी,आश्रफी
ashariri,अशरीरी,आशरीरी
ashriri,अशरीरी,आश्रीरी
ashrvatath,अश्वत्थ,अश्वताथ
ashvtth,अश्वत्थ,अश्वत्थ
asamaany,असमान्य,असमान्य
asamany,असमान्य,असामान्य
asmanye,असमान्य,असमान्य
asaamnjsy,असामंजस्य,असामंज्य
asamanjasy,असामंजस्य,असमंजस्य
asamanjasya,असामंजस्य,असमंजस्य
asurakshit,असुरक्षित,असुरक्षित
asurkshit,असुरक्षित,असुरक्षित
aset,असेट,एसेट
asset,असेट,एसेट
asvabhavik,अस्वभाविक,अस्वाभाविक
aswabhavik,अस्वभाविक,अस्वाभाविक
aswbhavik,अस्वभाविक,अस्वभाविक
ahirauli,अहिरौली,अहिरौली
item,आइटम,आइटेम
items,आइटम्स,आइटेंस
idle,आइडल,आईडल
idol,आइडल,आईडल
icc,आइसीसी,आईसीसी
iso,आइसो,आईएसओ
ipc,आईपीसी,आईपीसी
ipad,आईपैड,आईपाद
iris,आईरिस,आइरिस
ounce,आउंस,ऊंक
aakaash,आकाश,आकाश
aakash,आकाश,आकाश
aake,आके,आके
aakhet,आखेट,आखेत
akhet,आखेट,अखेत
aagat,आगत,आगत
aagaman,आगमन,आगमान
aagman,आगमन,आगमान
aagaa,आग़ा,आगा
aagah,आग़ा,आगाह
agha,आग़ा,अघा
aagaashe,आगाशे,आगाशे
aagashe,आगाशे,आगाशे
agashe,आगाशे,अगाशे
aajmaanaa,आजमाना,आजमाना
aajmana,आजमाना,आजमाना
aazmaanaa,आजमाना,आजमाना
aata,आटा,आता
ata,आटा,अटा
atta,आटा,अटा
aatmayen,आत्माएं,आत्मयें
atmaen,आत्माएं,आत्माएं
aadaan,आदान,आदान
aadan,आदान,आदन
aadhaarit,आधारित,आधारित
aadharit,आधारित,आधारित
adharit,आधारित,आधारित
aadheen,आधीन,आधीन
aadhin,आधीन,आधीन
aadhunik,आधुनिक,आधुनिक
aanad,आनद,आनाद
aanand,आनद,आनंद
anand,आनद,आनंद
aapka,आपका,आपका
aapkaa,आपका,आपका
aapadaaaen,आपदाएं,आपदाएं
aapdaein,आपदाएं,आपदाएं
aapdayein,आपदाएं,आपदयें
aabantit,आबंटित,आबांतित
abantit,आबंटित,आबंतित
aabru,आबरू,आब्रू
abaru,आबरू,अबारू
aamdan,आमदन,आमदान
amadan,आमदन,अमदान
aamdani,आमदनी,आमदानी
amadani,आमदनी,अमदानी
aamdi,आमदी,आंदी
amdi,आमदी,अंडी
aamod,आमोद,अमोद
amod,आमोद,अमोद
aayenge,आयेंगे,आयेंगे
aayojak,आयोजक,आयोजक
ro,आरओ,रो
rp,आरपी,आरपी
aaraam,आराम,आराम
aaram,आराम,आरम
aram,आराम,अरम
aarushi,आरुषि,आरूशि
arushi,आरुषि,अरुशि
artery,आर्टरी,आर्टरी
order,आर्डर,ऑर्डर
aary,आर्य,आर्य
aarya,आर्य,आर्या
arya,आर्य,आर्या
aaryika,आर्यिका,आर्यका
aryika,आर्यिका,आर्यका
aarya,आर्यो,आर्या
arya,आर्यो,आर्या
aryo,आर्यो,आर्यो
aaryan,आर्यों,आर्याण
arya,आर्यों,आर्या
aryon,आर्यों,आर्यों
aalsi,आलसी,आलसी
alasi,आलसी,आलासी
aalochak,आलोचक,आलोचक
alochak,आलोचक,आलोचक
aalochakon,आलोचकों,आलोचकों
alochakon,आलोचकों,अलोचकों
aalha,आल्हा,आल्हा
aalhaa,आल्हा,आल्हा
alha,आल्हा,अल्छा
allah,आल्हा,अल्लाह
aawaazen,आवाज़ें,आवाजें
aawajen,आवाज़ें,आवाजें
awaazen,आवाज़ें,आवाजें
awazen,आवाज़ें,आवाजें
aawajon,आवाज़ों,आवाजों
aawazon,आवाज़ों,आवाजों
awaazon,आवाज़ों,आवाजों
awazon,आवाज़ों,आवाजों
aavishakaar,आविष्कार,आविष्कार
aavishkaar,आविष्कार,आविष्कार
avishkar,आविष्कार,अविष्कार
aavriti,आवृत्ति,आवृति
aavritti,आवृत्ति,आवृत्ति
avuti,आवृत्ति,अवुति
aavritiyon,आवृत्तियों,आवृतियों
aavrittiyon,आवृत्तियों,आवृत्तियों
avrutiyon,आवृत्तियों,अवृतियों
aashanka,आशंका,आशंका
ashanka,आशंका,अक्षणका
aashriton,आश्रितों,आश्रितों
ashriton,आश्रितों,आश्रीतों
aasaan,आसान,आसान
aasan,आसान,आसन
asan,आसान,असन
aastik,आस्तिक,आस्तिक
astik,आस्तिक,अस्तिक
aasteen,आस्तीन,आस्तिन
aastin,आस्तीन,आस्तिन
astin,आस्तीन,एस्टिन
aahnaan,आह्नान,आह्नान
aahnan,आह्नान,आह्नान
ahyan,आह्नान,आह्वान
england,इंग्लैंड,इंग्लैड
engineer,इंजिनियर,इंजीनियर
introduction,इंट्रोडक्शन,इंट्रोडक्शन
insurance,इंश्योरेंस,इनसुरांस
ear,इअर,इयर
eyer,इअर,आईयर
eon,इआन,इयोन
iaan,इआन,इआईन
ekattha,इकट्ठा,इक्ट्ठा
ikattha,इकट्ठा,इक्ट्ठा
ekatthi,इकठ्ठी,इक्ट्ठी
ekthi,इकठ्ठी,एक्ठी
ikatthi,इकठ्ठी,इक्ट्ठी
ekaee,इकाई,एकाई
ikai,इकाई,ईकाई
ekaeyon,इकाईयों,एकाइयों
ikaiyon,इकाईयों,ईकाइयों
ikarion,इकाईयों,इकरियों
economic,इकोनोमिक,इकनॉमिक
ecuador,इक्वाडोर,इक्यूडर
equador,इक्वाडोर,इक्वार
equities,इक्विटीज,इक्विज
ikvitija,इक्विटीज,इकवितीजा
ijaajat,इजाजत,इजाज़त
ijajat,इजाजत,इजाज़त
inhalation,इनहेलेशन,इन्हलतियन
inhaletion,इनहेलेशन,इन्हेलेशन
ibija,इबीजा,इबिजा
ibiza,इबीजा,इबिजा
imaging,इमेजिंग,इमैजिंग
immune,इम्युन,इम्यून
elaichi,इलाइची,इलाइची
ilaichi,इलाइची,इलाइची
ilayachi,इलाइची,इलयाची
ilayichi,इलाइची,इलाइिची
elaaj,इलाज,इलाज
ilaaj,इलाज,इलाज
ilaj,इलाज,इलाज
ishaak,इशाक,इशाक
ishaaq,इशाक,इशाक
ishak,इशाक,इशाक
ishaara,इशारा,इशारा
ishaaraa,इशारा,इशारा
ishara,इशारा,ईशारा
ishita,इशिता,इशिता
isht,इष्ट,इष्ट
isteefe,इस्तीफे,इस्तीफ
istife,इस्तीफे,इस्टीफ
ea,ईए,इए
ia,ईए,इए
eater,ईटर,ईटर
iter,ईटर,आइटर
email,ईमेल,इमेल
emailon,ईमेलों,इमेलों
emelon,ईमेलों,एमिलों
evening,ईवनिंग,एवेनिंग
east,ईष्ट,ईस्ट
ishat,ईष्ट,इष्ट
isht,ईष्ट,इष्ट
isaaiyon,ईसाइयों,ईसाइयों
isaiyon,ईसाइयों,ईसाईयों
isayiyon,ईसाइयों,ईसाइयों
ikhrul,उखरुल,इखरूल
ukhrool,उखरुल,उखरूल
ukhrul,उखरुल,उखरूल
uchhalane,उछालने,उछालने
uchhalne,उछालने,उछालने
ujback,उज़्बेक,उज्बैक
uzbek,उज़्बेक,उज़्बेक
uthane,उठने,उठाने
uthne,उठने,उठने
uthaakar,उठाकर,उठाकर
uthakar,उठाकर,उठाकर
uthaapatak,उठापटक,उठापतक
uthapatak,उठापटक,उठापतक
uthen,उठें,उठाएं
udaan,उड़ान,उड़ान
udan,उड़ान,उड़न
udaanaa,उड़ाना,उड़ना
udana,उड़ाना,उड़ना
udaane,उड़ाने,उड़ाने
udane,उड़ाने,उड़ने
udaanen,उड़ानें,उड़नें
udanen,उड़ानें,उड़नें
udaanon,उड़ानों,उड़ानों
udanon,उड़ानों,उड़नों
utane,उतने,उतने
utaney,उतने,उतने
utne,उतने,उतने
uttara,उत्तरा,उतारा
uttra,उत्तरा,उत्तरा
utpan,उत्पन,उत्पन
udant,उदंत,उड़त
udghosh,उदघोष,उद्घोष
udar,उदर,उदार
uda,उदा,उड़ा
udaa,उदा,उड़ा
udakishuganj,उदाकिशुनगंज,उदकिशुंज
udakishunganj,उदाकिशुनगंज,उदकिशुंगंज
unatees,उनतीस,यूनटीस
untees,उनतीस,ऊंटीस
uniyal,उनियाल,यूनियाल
upadraviyon,उपद्रवियों,उपाद्रवियों
updravion,उपद्रवियों,उप्रवियों
updraviyon,उपद्रवियों,उप्रवियों
upadravi,उपद्रवी,उपाद्रवी
updravi,उपद्रवी,उप्रगी
upadrawon,उपद्रवों,उपाद्रवों
updravon,उपद्रवों,उप्रवों
upneta,उपनेता,उपनेता
upabhokta,उपभोक्ता,उपभोक्ता
upbhokta,उपभोक्ता,उपभोकता
uplaksh,उपलक्ष्य,उपलक्ष
uplakshay,उपलक्ष्य,उपलक्षय
uplakshya,उपलक्ष्य,उपलक्ष्य
uplabdh,उपलब्ध,उपलाब्ध
uplabdhiyon,उपलब्धियों,उपलाब्धियों
uplabdhi,उपलब्धी,उपलाब्धी
upakhyaanon,उपाख्यानों,उपख्यानों
upakhyanon,उपाख्यानों,उपख्यानों
ubuntu,उबंटू,उबूनतु
ubaal,उबाल,उबाल
ubal,उबाल,उबल
ubhaara,उभारा,उभारा
ubhara,उभारा,उभरा
umanath,उमानाथ,उमानाथ
umesh,उमेश,उम्मेश
urf,उर्फ,यूरफ
urfa,उर्फ,उरफा
urff,उर्फ,यूरफ
urvarakon,उर्वरकों,उर्वारकों
urvarkon,उर्वरकों,उर्वारकों
urwarakon,उर्वरकों,उर्वारकों
urvarata,उर्वरता,उर्वारता
urvarta,उर्वरता,उर्वार्ता
urwarta,उर्वरता,उर्वार्ता
ulate,उलटे,उलाते
ulte,उलटे,अल्टे
ulahana,उलाहना,उलहाना
ulahna,उलाहना,उलाहना
ulema,उलेमा,उलमा
ulemaon,उलेमाओं,उलमाम
usak,उसक,उसक
usaki,उसकी,उसकी
uski,उसकी,उसकी
usmein,उसमें,उसमेन
usmen,उसमें,उस्में
usi,उसी,यूसी
ustara,उस्तरा,उस्तरा
udharv,ऊर्ध्व,उधार्व
udhrva,ऊर्ध्व,उद्रवा
urdhav,ऊर्ध्व,उर्धव
ushma,ऊष्मा,उष्मा
rishicool,ऋषिकुल,रिशिकूल
rishikul,ऋषिकुल,रिशिकुल
rushikul,ऋषिकुल,ऋषिकूल
enzyme,एंजाइम,इंजम
anton,एंटोन,एंटन
entone,एंटोन,इंटोन
antoni,एंटोनी,अंटोनी
antony,एंटोनी,अंटोनी
endometrial,एंडोमेट्रियल,एंडोमेट्रियल
andreas,एंड्रियास,एंड्रेस
als,एएलएस,एल्स
asi,एएसआई,एसी
eksaath,एकसाथ,एक्साठ
eksath,एकसाथ,एक्साथ
ekaki,एकाकी,एकाकी
xm,एक्सएम,एस्स्म
egmor,एगमोर,इग्मोर
egmore,एगमोर,इगोर
aj,एजे,अज
agende,एजेंडे,एजेंडे
adp,एडीपी,एडीपी
adain,एडेन,अदाएन
aden,एडेन,अड़े
edan,एडेन,ईडन
addi,एड्डी,अडी
eddi,एड्डी,एडीडी
eddie,एड्डी,एडीडी
eddy,एड्डी,एडीडी
apj,एपीजे,अपज
ftii,एफटीआईआई,फ्टीआई
abbott,एबट,अब्बोट
abut,एबट,अबूत
ebt,एबट,ईबीटी
abvp,एबीवीपी,एबावप
abbot,एबोट,अब्बोट
abbott,एबोट,अब्बोट
mta,एमटीए,माईए
mtake,एमटेक,मटाक
mtec,एमटेक,मटेक
mtech,एमटेक,मटेक
emerald,एमरल्ड,एमरेल्ड
emrald,एमरल्ड,एमराल्ड
emil,एमिल,एमिल
emile,एमिल,एमिल
emily,एमिल,एमिली
amy,एमी,आम्य
emi,एमी,एमी
airway,एयरवे,एयरवे
eyarave,एयरवे,एयरवे
eyarve,एयरवे,एयर्व
error,एरर,एरर
arica,एरिका,अरिका
erica,एरिका,एरिका
erika,एरिका,एरिका
aerobic,एरोबिक,एयरोबिक
aerobics,एरोबिक,एयरोबिक्स
lte,एलटीई,एलटे
lti,एलटीई,एलीटी
allergic,एलर्जिक,एलर्जिक
eliminator,एलिमिनेटर,एलिमिनेटर
aliens,एलियंस,एलींस
alliance,एलियंस,एलायंस
asian,एशियन,एशियाई
sfc,एसएफसी,एसीसी
sk,एसके,एसके
spf,एसपीएफ,एसपीएफ
association,एसोसिएशन,असोशिएशन
astar,एस्टर,अस्तर
aster,एस्टर,एस्टर
ester,एस्टर,एस्टर
aesthetics,एस्थेटिक,एस्थेटिक्स
asthetic,एस्थेटिक,एस्थेतिक
asfalt,एस्फाल्ट,असफल्ट
asphalt,एस्फाल्ट,अस्छलत
asphault,एस्फाल्ट,असफौलत
ahsaas,एहसास,अहसास
ehsaas,एहसास,एहसास
ehsas,एहसास,एहसास
aisa,एेसा,ऐसा
eesa,एेसा,ईसा
ainth,ऐंठ,ऐंठ
end,ऐंठ,ऐंड
enth,ऐंठ,ऐंठ
ainthey,ऐंठे,ऐंठे
enthe,ऐंठे,इंठे
aithan,ऐठन,ऐंठन
ethan,ऐठन,एंठन
ethhan,ऐठन,इथन
ail,ऐल,ऐल
el,ऐल,इल
alaps,ऐल्प्स,अलाप्स
alps,ऐल्प्स,अल्प्स
aise,ऐसे,एसे
oxide,ऑक्साइड,ऑक्सीड
oxy,ऑक्सी,ऑक्सी
offers,ऑफर्स,ऑफर्स
offshor,ऑफशोर,ऑफ़्फ्चर
offshore,ऑफशोर,ऑफ़ाफोर
official,ऑफिशियल,ऑफिसियल
okalahoma,ओकलाहोमा,ओकलाहोम
oklahoma,ओकलाहोमा,ऑकलाहोम
oklahoma,ओक्लाहोमा,ऑकलाहोम
ot,ओत,ओटी
opel,ओपेल,ऑपल
obrayan,ओब्रायन,ओब्रायन
obrien,ओब्रायन,ऑब्रिएन
oran,ओरण,ओरन
orian,ओरियन,ओरियन
orion,ओरियन,ओरियन
olavrishti,ओलावृष्टि,ओलावृष्टि
ovum,ओवम,ओव्यूम
owem,ओवम,ओवम
oceanic,ओशनिक,ऑसिनिक
osaka,ओसाका,ओसका
auchity,औचित्य,औचित्य
auchitya,औचित्य,औचित्य
audhyogikaran,औद्योगिकरण,औद्योगिकरण
audyogikarana,औद्योगिकरण,औद्योगिकरण
audyogikikaran,औद्योगिकरण,औद्योगिकिकरण
aurangabad,औरंगाबाद,औरंगाबाड
aurora,औरोरा,औरोरा
aulakh,औलख,औलाख
kankad,कंकड़,कंकड
kankar,कंकड़,कंकर
kankad,कंकर,कंकड
kankar,कंकर,कंकर
kangan,कंगन,कंगन
conjunction,कंजंक्शन,कंजनक्शन
contemporary,कंटेम्पररी,कंटेमपोर्री
kanthahar,कंठहार,कंठहर
kanthhar,कंठहार,कंठार
composer,कंपोजर,कंपोसर
kambalon,कंबलों,कांबलों
kanblon,कंबलों,कांबलों
consultant,कंसलटेंट,कंसलटेंट
kakkad,कक्कड़,कक्कड़
kakkar,कक्कड़,कक्कर
kacche,कच्चे,कच्चे
kachche,कच्चे,कच्चे
karta,कटरा,करता
katra,कटरा,कतरा
cutlery,कटलरी,क्टलरी
katlari,कटलरी,कत्लारी
katlary,कटलरी,कत्लार्य
katasaraj,कटासराज,कटासराज
kathfodave,कठफोड़वे,कठफोदावे
kathfodve,कठफोड़वे,कठफोडवे
kathor,कठोर,कठोर
kathore,कठोर,कठोर
kanika,कणिका,कनिका
kathai,कत्थई,कथाई
katthai,कत्थई,कठ्थाई
katthaii,कत्थई,कट्थाई
convention,कनवेंशन,कन्वेशन
canals,कनाल,कैनल्स
kanaal,कनाल,कनाल
kanal,कनाल,कन्लाल
kanindham,कनिंघम,कनिंधम
kaningham,कनिंघम,कनिंघम
kanishthika,कनिष्ठिका,कनिष्ठिका
kanishthikaa,कनिष्ठिका,कनिष्ठिका
kanishtika,कनिष्ठिका,कनिष्टिका
kanyaayen,कन्याएं,कन्याएं
kanyaein,कन्याएं,कन्याएं
kanyayen,कन्याएं,कन्याएं
convention,कन्वेंशन,कन्वेशन
convocation,कन्वोकेशन,कन्वेकेशन
cup,कप,कीएप
kap,कप,कप
kapda,कपड़ा,कपड़ा
kpada,कपड़ा,कपाड़ा
kapdo,कपड़ो,कपड़ो
kapdon,कपड़ो,कपड़ों
kaping,कपिंग,कपिंग
kping,कपिंग,क्पिंग
kapolkalpana,कपोलकल्पना,कपोलकल्पना
kabaddi,कबड्डी,कबद्दी
kabr,कब्र,कब्र
kabra,कब्र,काबरा
kabren,कब्रें,कब्रेन
kabron,कब्रों,कब्रों
kamjor,कमज़ोर,कमजोर
kamzor,कमज़ोर,कमजोर
kamatar,कमतर,कमाटर
kamtar,कमतर,कमतर
kalamjeet,कमलजीत,कलमजीत
kamaljeet,कमलजीत,कमलजीत
kamaauu,कमाऊ,कमाऊ
kamau,कमाऊ,कमाऊ
kamaate,कमाते,कमाते
kamate,कमाते,कमाते
kamere,कमेरे,कमेरे
kmere,कमेरे,केमरे
karanj,करंज,करांज
kranj,करंज,क्रांज
karanjiya,करंजिया,करांजिया
kardhe,करघे,कर्ढे
karghe,करघे,करघे
karachana,करछना,कराचना
karchhana,करछना,कर्चना
karna,करना,करना
karpatri,करपात्री,कर्पत्री
karam,करम,करम
karoor,करूर,करूर
karur,करूर,करूर
karnataka,कर्नाटका,करनातका
karvi,कर्वी,करवी
kurvi,कर्वी,क्र्वी
kalmein,कलमें,कालमें
kalmen,कलमें,कालमें
kalraj,कलराज,कालराज
kalika,कलिका,कालीका
kalpanaon,कल्पनाओं,कल्पनाओं
kalpnaon,कल्पनाओं,कल्पनाओं
kavvaliyon,कव्वालियों,क़व्वालियों
qawwaliyon,कव्वालियों,क़व्वालियों
kavvali,कव्वाली,क़व्वाली
qawwali,कव्वाली,क़व्वाली
kashton,कष्टों,काथ्तों
kasarat,कसरत,कसरत
kasrat,कसरत,कसरत
kasara,कसारा,कसरा
kasida,कसीदा,कसीदा
kahane,कहने,कहाने
kahne,कहने,कहने
kahlaya,कहलाया,कहलाया
kahaniyon,कहानियों,कहानियों
kile,क़िले,किले
kanji,कांजी,कांजी
cant,कांट,केंट
kant,कांट,कांत
kanti,कांति,कांती
kakoo,काकू,काकू
kaku,काकू,काकू
kaagaj,कागज़,काग़ज़
kaagaz,कागज़,काग़ज़
kagaj,कागज़,कागज
kagaz,कागज़,कागज
kaaji,काजी,काजी
kaji,काजी,काजी
kazi,काजी,काजी
qazi,काजी,काजी
kajoo,काजू,काजू
kaju,काजू,काजू
kapadi,कापड़ी,कपाड़ी
kapdi,कापड़ी,कपड़ी
kamraj,कामराज,कमराज
kamottejana,कामोत्तेजना,कमोत्तेजना
kamottejna,कामोत्तेजना,कामोट्जेजना
kailana,कायलाना,कैलाना
kaylana,कायलाना,कायलाना
carfi,कार्की,कारफी
karki,कार्की,कार्की
kartik,कार्तिक,कार्टिक
karyakartaon,कार्यकर्ताओं,कार्यकार्ताओं
karykartaaon,कार्यकर्ताओं,कार्यकर्ताओं
karykartaon,कार्यकर्ताओं,कार्यकर्ताओं
karyabhar,कार्यभार,कार्यभर
karybhar,कार्यभार,कार्यभार
karyarat,कार्यरत,कार्यरत
karyrat,कार्यरत,कार्यूरात
